px,py
3.6558,0.0
3.6608,0.0
3.6658,0.0
3.6708,0.0
3.6758,0.0
3.6808,0.0
3.6858,0.0
3.6908,0.0
3.6958,0.0
3.7008,0.0
3.7058,0.0
3.7108,0.0
3.7158,0.0
3.7208,0.0
3.7258,0.0
3.7308,0.0
3.7358,0.0
3.7408,0.0
3.7458,0.0
3.7508,0.0
3.7558,0.0
3.7608,0.0
3.7658,0.0
3.7708,0.0
3.7758,0.0
3.7808,0.0
3.7858,0.0
3.7908,0.0
3.7958,0.0
3.8008,0.0
3.8058,0.0
3.8108,0.0
3.8158,0.0
3.8208,0.0
3.8258,0.0
3.8308,0.0
3.8358,0.0
3.8408,0.0
3.8458,0.0
3.8508,0.0
3.8558,0.0
3.8658,0.0
3.8708,0.0
3.8758,0.0
3.8808,0.0
3.8858,0.0
3.8908,0.0
3.8958,0.0
3.9008,0.0
3.9058,0.0
3.9108,0.0
3.9158,0.0
3.9208,0.0
3.9258,0.0
3.9308,0.0
3.9358,0.0
3.9408,0.0
3.9458,0.0
3.9508,0.0
3.9558,0.0
3.9608,0.0
3.9658,0.0
3.9708,0.0
3.9758,0.0
3.9808,0.0
3.9858,0.0
3.9908,0.0
3.9958,0.0
4.0008,0.0
4.0058,0.0
4.0108,0.0
4.0158,0.0
4.0208,0.0
4.0258,0.0
4.0308,0.0
4.0358,0.0
4.0408,0.0
4.0458,0.0
4.0508,0.0
4.0558,0.0
4.0608,0.0
4.0658,0.0
4.0758,0.0
4.0808,0.0
4.0858,0.0
4.0908,0.0
4.0958,0.0
4.1008,0.0
4.1058,0.0
4.1108,0.0
4.1158,0.0
4.1208,0.0
4.1258,0.0
4.1308,0.0
4.1358,0.0
4.1408,0.0
4.1458,0.0
4.1508,0.0
4.1558,0.0
4.1608,0.0
4.1658,0.0
4.1708,0.0
4.1758,0.0
4.1808,0.0
4.1858,0.0
4.1908,0.0
4.1958,0.0
4.2008,0.0
4.2058,0.0
4.2108,0.0
4.2158,0.0
4.2208,0.0
4.2258,0.0
4.2308,0.0
4.2358,0.0
4.2408,0.0
4.2458,0.0
4.2508,0.0
4.2558,0.0
4.2608,0.0
4.2658,0.0
4.2708,0.0
4.2758,0.0
4.2808,0.0
4.2858,0.0
4.2908,0.0
4.2958,0.0
4.3008,0.0
4.3058,0.0
4.3108,0.0
4.3158,0.0
4.3208,0.0
4.3258,0.0
4.3308,0.0
4.3358,0.0
4.3408,0.0
4.3458,0.0
4.3508,0.0
4.3608,0.0
4.3658,0.0
4.3708,0.0
4.3758,0.0
4.3808,0.0
4.3858,0.0
4.3908,0.0
4.3958,0.0
4.4008,0.0
4.4058,0.0
4.4108,0.0
4.4158,0.0
4.4208,0.0
4.4258,0.0
4.4308,0.0
4.4358,0.0
4.4408,0.0
4.4458,0.0
4.4508,0.0
4.4558,0.0
4.4608,0.0
4.4658,0.0
4.4708,0.0
4.4758,0.0
4.4808,0.0
4.4858,0.0
4.4908,0.0
4.4958,0.0
4.5008,0.0
4.5058,0.0
4.5108,0.0
4.5158,0.0
4.5208,0.0
4.5258,0.0
4.5308,0.0
4.5358,0.0
4.5408,0.0
4.5458,0.0
4.5508,0.0
4.5558,0.0
4.5608,0.0
4.5658,0.0
4.5708,0.0
4.5758,0.0
4.5808,0.0
4.5858,0.0
4.5908,0.0
4.5958,0.0
4.6008,0.0
4.6058,0.0
4.6108,0.0
4.6158,0.0
4.6208,0.0
4.6258,0.0
4.6308,0.0
4.6358,0.0
4.6408,0.0
4.6458,0.0
4.6508,0.0
4.6558,0.0
4.6608,0.0
4.6658,0.0
4.6708,0.0
4.6758,0.0
4.6808,0.0
4.6858,0.0
4.6908,0.0
4.6958,0.0
4.7008,0.0
4.7058,0.0
4.7108,0.0
4.7158,0.0
4.7208,0.0
4.7258,0.0
4.7308,0.0
4.7358,0.0
4.7408,0.0
4.7458,0.0
4.7508,0.0
4.7558,0.0
4.7608,0.0
4.7658,0.0
4.7708,0.0
4.7808,0.0
4.7858,0.0
4.7908,0.0
4.7958,0.0
4.8008,0.0
4.8058,0.0
4.8108,0.0
4.8158,0.0
4.8208,0.0
4.8258,0.0
4.8308,0.0
4.8358,0.0
4.8408,0.0
4.8458,0.0
4.8508,0.0
4.8558,0.0
4.8608,0.0
4.8658,0.0
4.8708,0.0
4.8758,0.0
4.8808,0.0
4.8858,0.0
4.8908,0.0
4.8958,0.0
4.9008,0.0
4.9058,0.0
4.9108,0.0
4.9158,0.0
4.9208,0.0
4.9258,0.0
4.9308,0.0
4.9358,0.0
4.9408,0.0
4.9458,0.0
4.9508,0.0
4.9558,0.0
4.9608,0.0
4.9658,0.0
4.9708,0.0
4.9758,0.0
4.9808,0.0
4.9858,0.0
4.9908,0.0
4.9958,0.0
5.0008,0.0
5.0058,0.0
5.0108,0.0
5.0158,0.0
5.0258,0.0
5.0308,0.0
5.0358,0.0
5.0408,0.0
5.0458,0.0
5.0558,0.0
5.0608,0.0
5.0658,0.0
5.0708,0.0
5.0758,0.0
5.0808,0.0
5.0858,0.0
5.0908,0.0
5.0958,0.0
5.1008,0.0
5.1058,0.0
5.1108,0.0
5.1158,0.0
5.1208,0.0
5.1258,0.0
5.1308,0.0
5.1358,0.0
5.1408,0.0
5.1458,0.0
5.1508,0.0
5.1558,0.0
5.1608,0.0
5.1658,0.0
5.1708,0.0
5.1758,0.0
5.1808,0.0
5.1858,0.0
5.1908,0.0
5.1958,0.0
5.2008,0.0
5.2058,0.0
5.2108,0.0
5.2158,0.0
5.2208,0.0
5.2258,0.0
5.2308,0.0
5.2358,0.0
5.2408,0.0
5.2458,0.0
5.2508,0.0
5.2558,0.0
5.2608,0.0
5.2658,0.0
5.2708,0.0
5.2758,0.0
5.2808,0.0
5.2858,0.0
5.2908,0.0
5.2958,0.0
5.3008,0.0
5.3058,0.0
5.3108,0.0
5.3158,0.0
5.3208,0.0
5.3258,0.0
5.3308,0.0
5.3358,0.0
5.3408,0.0
5.3458,0.0
5.3508,0.0
5.3558,0.0
5.3608,0.0
5.3658,0.0
5.3708,0.0
5.3758,0.0
5.3808,0.0
5.3858,0.0
5.3908,0.0
5.3958,0.0
5.4008,0.0
5.4058,0.0
5.4108,0.0
5.4158,0.0
5.4208,0.0
5.4258,0.0
5.4308,0.0
5.4358,0.0
5.4408,0.0
5.4458,0.0
5.4508,0.0
5.4558,0.0
5.4658,0.0
5.4708,0.0
5.4758,0.0
5.4808,0.0
5.4858,0.0
5.4908,0.0
5.4958,0.0
5.5008,0.0
5.5058,0.0
5.5108,0.0
5.5158,0.0
5.5208,0.0
5.5258,0.0
5.5308,0.0
5.5358,0.0
5.5408,0.0
5.5458,0.0
5.5508,0.0
5.5558,0.0
5.5608,0.0
5.5658,0.0
5.5708,0.0
5.5758,0.0
5.5808,0.0
5.5858,0.0
5.5908,0.0
5.5958,0.0
5.6008,0.0
5.6058,0.0
5.6108,0.0
5.6158,0.0
5.6208,0.0
5.6258,0.0
5.6308,0.0
5.6358,0.0
5.6408,0.0
5.6458,0.0
5.6508,0.0
5.6558,0.0
5.6608,0.0
5.6658,0.0
5.6708,0.0
5.6758,0.0
5.6808,0.0
5.6858,0.0
5.6908,0.0
5.6958,0.0
5.7008,0.0
5.7058,0.0
5.7108,0.0
5.7158,0.0
5.7208,0.0
5.7258,0.0
5.7308,0.0
5.7358,0.0
5.7408,0.0
5.7458,0.0
5.7508,0.0
5.7558,0.0
5.7608,0.0
5.7658,0.0
5.7708,0.0
5.7808,0.0
5.7858,0.0
5.7908,0.0
5.7958,0.0
5.8008,0.0
5.8058,0.0
5.8108,0.0
5.8158,0.0
5.8208,0.0
5.8258,0.0
5.8308,0.0
5.8358,0.0
5.8408,0.0
5.8458,0.0
5.8508,0.0
5.8558,0.0
5.8608,0.0
5.8658,0.0
5.8708,0.0
5.8758,0.0
5.8808,0.0
5.8858,0.0
5.8908,0.0
5.8958,0.0
5.9008,0.0
5.9058,0.0
5.9108,0.0
5.9158,0.0
5.9208,0.0
5.9258,0.0
5.9308,0.0
